Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
33,Gujarat_24,Banaskantha_441,Dhanera_3734,Vasan_156187,Vasan,Vasan,Piezometer,SGWD,HPII_BK_011,24.68972,72.07056,118.26,Confined I,93.1,91.0,92.7,91.0,94.2,89.0,101.0,99.7,101.3,97.2,104.0,102.65,105.2,102.2,105.7,100.6
36,Gujarat_24,Banaskantha_441,Kankrej_3743,,Nana Jampur,Nana Jampur,Piezometer,SGWD,HPII_BK_013,23.95056,71.84694,90.28,Confined I,65.1,63.1,60.2,58.7,61.2,58.5,52.0,55.4,60.8,58.6,60.2,56.1,57.0,55.0,55.4,54.25
37,Gujarat_24,Banaskantha_441,Kankrej_3743,,Thara,Thara-I,Piezometer,SGWD,BKPZ-097,23.9925,71.82667,115.98,Confined I,99.3,95.4,92.4,90.4,92.1,88.2,89.9,88.87,93.1,91.4,93.2,89.0,91.9,88.4,88.8,86.5
38,Gujarat_24,Banaskantha_441,Kankrej_3743,,Thara,Thara-II,Piezometer,SGWD,BKPZ-098,23.98972,71.82722,150.0,Confined II,141.02,137.52,137.62,133.62,135.32,126.92,126.42,136.62,131.92,124.37,127.92,119.52,125.82,123.67,123.62,118.72
39,Gujarat_24,Banaskantha_441,Kankrej_3743,,Totana,Totana,Piezometer,SGWD,BKPZ-094,23.89167,71.8575,60.04,Unconfined,16.8,12.8,13.2,12.6,14.3,9.0,10.8,11.3,15.8,13.75,14.2,12.7,13.7,11.9,14.15,12.7
41,Gujarat_24,Banaskantha_441,Kankrej_3743,Khodla_156223,Khodla,Khodla,Piezometer,SGWD,BKSSPZ-06,24.13333,71.95639,57.5,Unconfined,19.3,19.4,23.8,12.9,21.5,19.3,24.5,30.8,35.5,18.9,15.0,13.8,14.5,13.25,15.15,12.75
42,Gujarat_24,Banaskantha_441,Lakhani_6168, Taruwa_156435,Taruwa,,Piezometer,SGWD,BKPZ-099,24.40642,71.82861,89.74,Unconfined,60.1,57.7,60.5,57.9,63.6,63.2,64.7,66.3,71.9,70.2,71.5,68.9,75.7,74.0,75.2,71.5
43,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal-1,sardhav Pz -I,Piezometer,SGWD,G_1_BK_025,24.41,71.93,299.0,Confined III,56.8,52.7,61.3,60.25,68.1,64.8,70.3,71.2,80.0,76.9,85.2,82.6,90.15,86.45,89.4,87.4
44,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal--Ii,,Piezometer,SGWD,BKPZ-048,24.41,71.93,120.0,Confined I,57.3,56.1,58.7,57.7,63.1,63.0,66.9,67.2,75.8,72.17,75.2,71.2,85.7,83.6,87.3,84.5
45,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal--Iii,,Piezometer,SGWD,BKPZ-049,24.41,71.93,199.85,Confined II,56.4,53.8,59.3,58.5,66.3,62.7,68.3,68.1,78.6,72.8,82.0,80.5,88.3,87.1,89.85,89.1
48,Gujarat_24,Banaskantha_441,Lakhani_6168,Kuwana_156123,Kuwana,Kuwana,Piezometer,SGWD,BKPZ-104,24.30722,71.78028,197.45,Confined II,88.6,88.9,99.0,95.7,105.35,96.7,107.5,97.1,107.7,101.6,112.7,107.9,114.45,108.65,115.2,109.2
52,Gujarat_24,Banaskantha_441,Palanpur_3739,,Palanpur (M),Palanpur_Pz,Piezometer,CGWB,W241020072270001,24.17202,72.45003,69.5,Unconfined,40.63,39.0,41.56,39.56,40.38,36.31,36.38,36.63,38.34,40.63,39.48,39.25,39.63,39.71,41.31,41.32
54,Gujarat_24,Banaskantha_441,Palanpur_3739,Aligadh_276236,Aligadh,,Piezometer,SGWD,HPII_BK_015,24.19,72.48,60.39,Unconfined,39.2,36.45,37.5,36.9,40.1,34.5,35.5,34.8,40.6,38.25,41.0,35.5,42.3,40.3,44.15,42.8
55,Gujarat_24,Banaskantha_441,Palanpur_3739,Chandisar_156283,Chandisar-Ii,,Piezometer,SGWD,BKPZ-079,24.21,72.32,120.0,Confined II,95.31,94.51,94.81,91.41,97.11,91.31,95.41,94.31,97.21,95.81,99.11,98.51,98.51,97.36,100.31,97.31
56,Gujarat_24,Banaskantha_441,Palanpur_3739,Dhandha_156288,Dhandha,,Piezometer,SGWD,G_1_BK_069,24.18,72.56,57.0,Unconfined,23.9,17.6,20.7,20.0,24.9,15.5,19.7,19.8,23.95,19.0,22.5,16.2,23.1,21.15,22.0,20.2
57,Gujarat_24,Banaskantha_441,Palanpur_3739,Gola_156294,Gola,,Piezometer,SGWD,BKPZ-080,24.14,72.53,43.56,Unconfined,30.2,26.7,27.9,26.6,28.75,26.5,27.3,27.51,31.2,29.3,31.4,29.5,32.75,30.2,32.45,30.75
58,Gujarat_24,Banaskantha_441,Palanpur_3739,Hasanpur_156295,Hasanpur,Hasanpur,Dug Well,SGWD,BK-112,24.24611,72.54694,24.4,Unconfined,16.9,16.75,18.2,14.6,16.7,7.6,15.6,10.1,21.8,13.0,20.0,21.2,21.3,20.7,23.4,21.4
59,Gujarat_24,Banaskantha_441,Palanpur_3739,Hathidra_156296,Hathidra,Hathidra,Dug Well,SGWD,BK-113,24.23139,72.6175,28.85,Unconfined,8.7,8.65,7.9,5.8,9.9,2.9,6.5,6.1,13.1,3.65,8.0,5.9,12.2,9.4,11.8,8.3
60,Gujarat_24,Banaskantha_441,Palanpur_3739,Hebatpur_156297,Hebatpur,Hebatpur,Dug Well,SGWD,BK-019,24.26028,72.46972,30.0,Unconfined,24.7,23.5,24.0,18.7,26.05,11.2,17.6,21.3,25.5,28.4,26.9,22.3,25.6,23.95,25.4,23.4
61,Gujarat_24,Banaskantha_441,Palanpur_3739,Kotda (Cha)_275902,Chitrasani,,Piezometer,SGWD,BKPZ-064,24.27,72.48,37.0,Unconfined,14.6,11.9,13.6,13.6,15.7,8.9,10.9,10.6,14.93,12.4,14.0,8.8,13.2,11.75,12.9,10.7
62,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-I,,Piezometer,SGWD,BKPZ-067,24.11,72.25,124.05,Confined I,69.4,61.8,60.5,53.1,67.1,52.75,60.3,61.75,65.2,55.75,68.7,62.3,67.0,65.8,69.1,68.7
63,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-Ii,,Piezometer,SGWD,BKPZ-068,24.11,72.25,143.1,Confined II,128.6,120.8,120.3,114.0,119.3,111.66,117.2,120.6,121.9,112.2,119.4,116.6,118.1,116.2,132.8,129.1
64,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-Iii,,Piezometer,SGWD,BKPZ-069,24.11,72.25,193.13,Confined III,156.0,145.5,145.7,139.0,150.15,141.5,152.0,150.6,156.45,144.15,158.0,153.7,156.7,155.3,160.6,158.4
65,Gujarat_24,Banaskantha_441,Palanpur_3739,Sedrasana_156349,Sedrasana,,Piezometer,SGWD,G_1_BK_075,24.1,72.43,89.91,Unconfined,69.8,68.2,70.8,69.2,71.6,63.8,64.5,61.75,66.6,62.4,67.2,65.3,69.1,67.55,72.4,69.3
67,Gujarat_24,Banaskantha_441,Tharad_3733,,Bhuriya,,Piezometer,SGWD,G_1_BK_077,24.51,71.73,90.0,Confined I,33.3,31.6,34.7,34.4,36.1,31.7,32.9,32.9,36.7,34.8,35.8,34.2,39.5,38.0,40.75,39.4
68,Gujarat_24,Banaskantha_441,Tharad_3733,,Jandla,Jandla,Piezometer,SGWD,G_1_BK_080,24.32028,71.635,90.0,Confined I,18.3,13.6,11.6,10.9,11.8,8.1,10.0,10.2,12.7,10.25,10.8,9.2,10.2,8.8,10.1,6.6
70,Gujarat_24,Banaskantha_441,Tharad_3733,,Khoda,Khoda,Dug Well,CGWB,W243930071460001,24.65833,71.76667,27.45,Unconfined,23.82,20.58,21.5,21.04,22.54,18.13,21.66,21.8,21.17,23.45,23.26,23.82,24.65,21.35,26.15,27.19
72,Gujarat_24,Banaskantha_441,Tharad_3733,,Lorwada,Lorwada-2,Piezometer,SGWD,G_1_BK_082,24.49667,71.61417,82.03,Confined I,8.6,4.6,6.6,4.05,7.3,0.95,2.8,3.0,5.6,3.45,6.0,2.3,5.2,3.9,3.3,2.1
73,Gujarat_24,Banaskantha_441,Tharad_3733,,Miyal,Miyal-2,Piezometer,SGWD,G_1_BK_086,24.61694,71.74778,90.0,Confined I,19.6,15.9,19.3,13.2,13.9,8.1,11.6,12.0,14.6,12.8,13.5,12.2,15.5,14.1,16.2,14.7
74,Gujarat_24,Banaskantha_441,Tharad_3733,,Ranesari,Ranesari-2,Piezometer,SGWD,G_1_BK_092,24.64917,71.55306,120.0,Confined I,13.45,8.8,10.4,7.4,8.2,5.3,5.9,5.6,7.7,5.6,12.6,4.6,4.5,3.2,4.3,2.9
75,Gujarat_24,Banaskantha_441,Tharad_3733,,Tharad,Tharad Pzii,Piezometer,CGWB,W242306071371002,24.39694,71.62722,65.0,Unconfined,14.72,10.63,14.79,11.42,12.49,8.25,8.96,8.85,9.89,9.41,10.01,9.44,9.93,9.02,9.67,9.34
76,Gujarat_24,Banaskantha_441,Tharad_3733,,Tharad,Tharad Pziii,Piezometer,CGWB,W242306071371003,24.39694,71.62722,30.0,Unconfined,14.34,10.42,14.78,11.43,12.47,8.42,8.88,8.82,9.99,9.44,9.13,9.36,9.88,9.17,9.77,9.38
77,Gujarat_24,Banaskantha_441,Tharad_3733,,Tharad,Tharad,Piezometer,SGWD,HPII_BK_020,24.38917,71.63556,89.35,Confined I,23.0,16.8,18.5,15.9,17.3,12.3,13.0,13.4,16.7,14.4,15.0,13.55,14.7,13.4,16.75,11.7
81,Gujarat_24,Banaskantha_441,Tharad_3733,Kiyal_156406,Kiyal-Ii,,Piezometer,SGWD,BKPZ-100,24.52513,71.86235,90.0,Confined I,44.72,44.42,47.42,45.02,47.82,46.32,48.72,48.62,53.02,51.57,54.42,52.42,56.92,55.92,58.52,58.82
82,Gujarat_24,Banaskantha_441,Tharad_3733,Kiyal_156406,Kiyal-Iii,,Piezometer,SGWD,BKPZ-101,24.52514,71.86325,120.0,Confined I,45.2,44.6,46.6,44.7,50.3,46.62,50.5,48.4,55.9,51.0,57.4,55.2,60.4,57.7,58.0,55.4
83,Gujarat_24,Banaskantha_441,Tharad_3733,Pavadasan_156426,Pavadasan,Pavadasan,Piezometer,SGWD,G_1_BK_088,24.48806,71.91833,120.0,Confined I,50.2,49.2,53.3,50.9,55.6,52.7,57.9,58.9,64.98,57.6,69.7,65.2,75.8,70.4,72.7,70.3
87,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah-1,Piezometer,SGWD,G_1_BK_089,24.4925,71.8175,150.0,Confined II,42.45,39.0,43.3,39.2,42.8,40.3,45.4,44.1,50.1,46.2,49.1,48.3,53.6,50.9,58.8,55.3
89,Gujarat_24,Banaskantha_441,Vadgam_3738,Gidasan Moti_156467,Gidasan Moti,,Piezometer,SGWD,G_1_BK_094,24.0,72.5,109.0,Confined I,73.4,71.7,74.5,72.6,76.8,76.7,80.2,78.5,82.5,79.8,76.5,75.1,78.3,76.4,79.1,77.5
90,Gujarat_24,Banaskantha_441,Vadgam_3738,Kaleda_156477,Kaleda,Kaleda,Dug Well,SGWD,BK-004,24.01773,72.63884,19.5,Unconfined,13.1,12.2,12.1,9.9,14.5,9.1,11.9,11.3,11.9,14.3,15.4,13.6,14.9,12.4,15.1,12.6
91,Gujarat_24,Banaskantha_441,Vadgam_3738,Kodaram_156481,Kodaram,,Piezometer,SGWD,BKPZ-074,23.96,72.58,97.49,Confined I,34.0,30.5,34.6,33.8,38.1,32.1,33.6,33.2,36.3,34.55,37.1,35.2,34.7,33.1,38.1,38.0
94,Gujarat_24,Banaskantha_441,Vadgam_3738,Meta_156492,Meta-Ii,,Piezometer,SGWD,BKPZ-077,24.04,72.34,150.0,Confined II,139.58,136.58,138.78,132.58,136.28,131.98,134.58,134.53,136.98,133.48,136.78,132.78,134.88,133.48,137.53,128.78
95,Gujarat_24,Banaskantha_441,Vadgam_3738,Mumanvas_156494,Mumanvas,,Piezometer,SGWD,BKPZ-082,24.15,72.65,60.0,Unconfined,19.5,15.4,17.2,17.9,20.9,13.9,16.2,15.6,25.3,19.5,22.4,18.3,18.6,17.6,23.1,16.2
96,Gujarat_24,Banaskantha_441,Vadgam_3738,Nanosana_156498,Nanosana,,Piezometer,SGWD,HPII_BK_021,23.98,72.44,81.16,Confined I,59.9,59.24,59.8,58.9,62.7,61.7,62.9,62.3,64.9,62.5,66.2,62.7,69.8,68.4,69.1,67.9
98,Gujarat_24,Banaskantha_441,Vadgam_3738,Sisrana_156515,Sisrana,,Piezometer,SGWD,BKPZ-075,24.07,72.61,51.0,Unconfined,21.2,15.5,17.4,16.7,20.4,14.5,17.7,17.1,22.6,18.85,21.5,16.1,22.2,20.55,24.9,22.1
100,Gujarat_24,Banaskantha_441,Vadgam_3738,Vadgam_156520,Vadgam,,Piezometer,SGWD,BKPZ-083,24.08,72.49,60.24,Unconfined,36.9,31.52,35.0,34.4,37.4,34.2,35.9,35.9,39.75,37.35,38.7,36.0,38.2,36.9,39.5,37.6
101,Gujarat_24,Gandhinagar_446,Dehgam_3776,,Dehgam-I,,Piezometer,SGWD,SABDPZ-43,23.17,72.81,173.0,Confined II,102.95,102.4,103.3,101.4,102.95,101.95,102.75,102.05,105.55,102.65,105.55,102.25,103.55,101.85,104.95,102.35
102,Gujarat_24,Gandhinagar_446,Dehgam_3776,,Dehgam-Ii,,Piezometer,SGWD,SABDPZ-44,23.17,72.81,134.24,Confined I,103.15,102.8,103.5,101.4,103.2,101.9,103.0,102.0,104.6,102.2,105.3,101.45,104.3,101.9,105.0,102.7
103,Gujarat_24,Gandhinagar_446,Dehgam_3776,,Dehgam-Iii,,Piezometer,SGWD,SABDPZ-45,23.17,72.81,96.02,Confined I,48.6,48.3,49.1,49.9,50.1,49.5,49.9,47.9,50.1,49.15,51.6,49.95,50.6,48.8,49.3,47.7
105,Gujarat_24,Gandhinagar_446,Dehgam_3776,Aantroli_158577,Antroli,,Piezometer,SGWD,HPII_GNR_002,23.17,72.9,54.55,Unconfined,37.2,33.2,36.5,34.8,38.6,34.7,38.2,36.1,41.6,37.8,41.5,34.3,40.1,36.4,42.9,38.9
106,Gujarat_24,Gandhinagar_446,Dehgam_3776,Devkaran Na Muvada_158591,Devkaran Na Muvada,Devkaran Na Muvada,Piezometer,SGWD,SABDPZ-01,23.12667,72.95528,54.01,Unconfined,21.85,21.6,23.7,22.9,24.7,23.2,24.3,23.3,26.1,24.6,25.5,24.5,24.8,24.6,25.7,23.4
107,Gujarat_24,Gandhinagar_446,Dehgam_3776,Dharisana_158592,Dharisana,,Piezometer,SGWD,SABDPZ-46,23.26,72.85,121.93,Confined I,99.3,98.8,99.75,98.9,99.75,98.9,99.3,98.8,100.9,99.5,100.3,94.95,94.7,95.5,96.8,95.3
108,Gujarat_24,Gandhinagar_446,Dehgam_3776,Harsoli-Jivajini Muvadi_276163,Harsoli,Harsoli,Piezometer,SGWD,G_1_GNR_001,23.07972,72.815,88.0,Unconfined,44.25,43.9,45.95,44.9,48.3,45.8,47.0,46.0,52.3,50.8,51.1,49.9,50.3,50.2,53.5,51.6
109,Gujarat_24,Gandhinagar_446,Dehgam_3776,Hilol_158600,Hilol,Hilol,Piezometer,SGWD,G_1_GNR_002,23.02611,72.87528,88.0,Unconfined,33.85,33.0,31.65,29.9,30.35,28.5,31.7,29.1,34.7,30.5,35.2,30.7,33.7,29.9,36.2,33.2
110,Gujarat_24,Gandhinagar_446,Dehgam_3776,Jindva_158605,Jindva,,Piezometer,SGWD,SABDPZ-02,23.21,72.95,53.25,Unconfined,36.5,36.0,38.0,36.2,38.5,36.3,37.1,35.7,39.3,35.9,37.9,35.7,37.8,35.8,38.5,36.3
111,Gujarat_24,Gandhinagar_446,Dehgam_3776,Kadjodra_158608,Kadjodra,,Piezometer,SGWD,G_1_GNR_003,23.17,72.95,48.0,Unconfined,38.25,37.25,40.7,39.25,41.2,40.6,42.0,41.3,44.9,41.8,43.7,40.3,43.9,41.3,45.0,42.2
112,Gujarat_24,Gandhinagar_446,Dehgam_3776,Palaiya_158634,Palaiya,Palaiya,Dug Well,SGWD,AD-003,23.17861,72.84111,17.0,Unconfined,12.85,12.25,15.35,14.65,15.55,12.45,15.55,14.35,15.95,15.35,15.55,9.35,10.05,3.75,6.45,6.05
113,Gujarat_24,Gandhinagar_446,Dehgam_3776,Patna Kuva_158638,Patna Kuva,,Piezometer,SGWD,HPII_GNR_001,23.29,72.88,89.24,Unconfined,64.95,64.7,65.2,64.9,65.35,62.5,65.8,64.8,65.95,49.7,72.5,71.0,72.5,69.4,72.3,72.0
114,Gujarat_24,Gandhinagar_446,Dehgam_3776,Sanoda_158647,Sanoda,,Piezometer,SGWD,SABDPZ-03,23.22,72.81,84.27,Unconfined,35.6,33.85,35.55,32.6,35.0,33.3,35.4,34.6,36.1,34.2,44.6,37.8,39.0,36.2,38.6,32.8
115,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Bhat-I,,Piezometer,SGWD,GNPZ-003,23.11,72.64,119.91,Confined I,81.1,78.45,81.25,79.1,83.6,80.3,82.6,80.8,85.9,82.8,83.9,83.1,84.8,83.6,46.8,45.9
116,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Bhat-Ii,,Piezometer,SGWD,G_1_GNR_005,23.1,72.63,76.0,Unconfined,40.2,39.7,41.4,40.9,43.1,41.6,44.6,41.6,44.7,41.7,44.7,43.4,44.4,43.7,46.8,45.9
117,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Gandhinagar,,Piezometer,SGWD,GNPZ-001,23.2,72.65,199.0,Confined II,102.7,99.4,105.15,99.25,106.9,99.9,105.5,102.6,107.9,100.3,107.1,100.15,105.1,102.3,106.2,101.6
118,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Gandhinagar-Ii,,Piezometer,SGWD,G_1_GNR_007,23.2,72.65,87.0,Unconfined,52.25,51.0,52.2,51.3,51.7,49.4,50.1,47.6,48.9,47.15,47.9,44.6,46.5,45.2,47.6,45.5
119,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Indroda,,Piezometer,SGWD,HPII_GNR_003,23.2,72.66,98.0,Confined I,48.2,43.6,47.8,42.1,44.9,40.0,40.9,38.7,42.4,38.3,45.3,42.1,44.8,43.0,49.7,43.4
120,Gujarat_24,Gandhinagar_446,Gandhinagar_3775,,Karai,,Piezometer,SGWD,G_1_GNR_008,23.14,72.66,59.0,Unconfined,36.85,35.2,37.8,37.4,39.1,36.0,36.8,36.0,40.7,42.1,43.1,42.3,43.2,43.0,45.1,42.7
